Original_Row_Index,Inorganic phosphor,Host,1st dopant,Reference,MP-ID,ICSD-ID,CV_Fold,Emission max. (nm)
1848,Zr0.91O2Eu0.09,Zr0.91O2,Eu,https://doi.org/10.1016/j.dyepig.2017.12.012,"mp-2858,mp-776404,mp-754403,mp-1190186,mp-556605,mp-755089,mp-755759,mp-2574,mp-776427,mp-775909,mp-775980,mp-755769,mp-775910,mp-1565,mp-754741,mp-775935,mp-776386,mp-963,mp-1245318,mp-1100824 ", icsd-82544 icsd-187209 icsd-80043 icsd-172161 icsd-173959 icsd-82543 icsd-291451 icsd-80042 icsd-658755 icsd-94887 icsd-186674 icsd-41010 icsd-80044 icsd-18190 icsd-62993 icsd-248445 icsd-68782 icsd-57158 icsd-157403 icsd-94886 icsd-86692 icsd-57451 icsd-89426 icsd-417639 icsd-187208 icsd-80048 icsd-80046 icsd-80045 icsd-291120 icsd-41572 icsd-248446 icsd-80050 icsd-80049 icsd-187207 icsd-26488 icsd-15983 icsd-82545 icsd-60900 icsd-647691 icsd-57157 icsd-96537 icsd-80047 icsd-185125 icsd-659226 icsd-60901 icsd-237008 icsd-248449 icsd-173960 icsd-67004 icsd-94931 icsd-66784 icsd-66783 icsd-92091 icsd-92093 icsd-85322 icsd-157620 icsd-237007 icsd-647692 icsd-9993 icsd-92092 icsd-66781 icsd-164736 icsd-51051 icsd-93124 icsd-66786 icsd-248448 icsd-291452 icsd-173961 icsd-157621 icsd-66788 icsd-88022 icsd-93028 icsd-66782 icsd-185124 icsd-93125 icsd-66787 icsd-93033 icsd-93032 icsd-93030 icsd-66785 icsd-93031 icsd-68781 icsd-92090 icsd-180936 icsd-157618 icsd-97004 icsd-248447 icsd-164862 icsd-186673 icsd-157619 icsd-66789 icsd-93123 icsd-93126 icsd-23928 icsd-93029 icsd-68589 icsd-655671 icsd-248444 icsd-53998 icsd-105553 icsd-164861 icsd-291119 icsd-92096 icsd-248443 icsd-186672 icsd-291453 icsd-157617 icsd-173962 icsd-647689 icsd-92095 icsd-237006 icsd-185123 icsd-89429 icsd-79914 icsd-173963 icsd-56696 icsd-83862 icsd-79915,9,604.0
1849,Zr0.89O2Eu0.11,Zr0.89O2,Eu,https://doi.org/10.1016/j.dyepig.2017.12.012,"mp-2858,mp-776404,mp-754403,mp-1190186,mp-556605,mp-755089,mp-755759,mp-2574,mp-776427,mp-775909,mp-775980,mp-755769,mp-775910,mp-1565,mp-754741,mp-775935,mp-776386,mp-963,mp-1245318,mp-1100824", icsd-82544 icsd-187209 icsd-80043 icsd-172161 icsd-173959 icsd-82543 icsd-291451 icsd-80042 icsd-658755 icsd-94887 icsd-186674 icsd-41010 icsd-80044 icsd-18190 icsd-62993 icsd-248445 icsd-68782 icsd-57158 icsd-157403 icsd-94886 icsd-86692 icsd-57451 icsd-89426 icsd-417639 icsd-187208 icsd-80048 icsd-80046 icsd-80045 icsd-291120 icsd-41572 icsd-248446 icsd-80050 icsd-80049 icsd-187207 icsd-26488 icsd-15983 icsd-82545 icsd-60900 icsd-647691 icsd-57157 icsd-96537 icsd-80047 icsd-185125 icsd-659226 icsd-60901 icsd-237008 icsd-248449 icsd-173960 icsd-67004 icsd-94931 icsd-66784 icsd-66783 icsd-92091 icsd-92093 icsd-85322 icsd-157620 icsd-237007 icsd-647692 icsd-9993 icsd-92092 icsd-66781 icsd-164736 icsd-51051 icsd-93124 icsd-66786 icsd-248448 icsd-291452 icsd-173961 icsd-157621 icsd-66788 icsd-88022 icsd-93028 icsd-66782 icsd-185124 icsd-93125 icsd-66787 icsd-93033 icsd-93032 icsd-93030 icsd-66785 icsd-93031 icsd-68781 icsd-92090 icsd-180936 icsd-157618 icsd-97004 icsd-248447 icsd-164862 icsd-186673 icsd-157619 icsd-66789 icsd-93123 icsd-93126 icsd-23928 icsd-93029 icsd-68589 icsd-655671 icsd-248444 icsd-53998 icsd-105553 icsd-164861 icsd-291119 icsd-92096 icsd-248443 icsd-186672 icsd-291453 icsd-157617 icsd-173962 icsd-647689 icsd-92095 icsd-237006 icsd-185123 icsd-89429 icsd-79914 icsd-173963 icsd-56696 icsd-83862 icsd-79915,5,604.0
1850,Zr0.87O2Eu0.13,Zr0.87O2,Eu,https://doi.org/10.1016/j.dyepig.2017.12.012,"mp-2858,mp-776404,mp-754403,mp-1190186,mp-556605,mp-755089,mp-755759,mp-2574,mp-776427,mp-775909,mp-775980,mp-755769,mp-775910,mp-1565,mp-754741,mp-775935,mp-776386,mp-963,mp-1245318,mp-1100824", icsd-82544 icsd-187209 icsd-80043 icsd-172161 icsd-173959 icsd-82543 icsd-291451 icsd-80042 icsd-658755 icsd-94887 icsd-186674 icsd-41010 icsd-80044 icsd-18190 icsd-62993 icsd-248445 icsd-68782 icsd-57158 icsd-157403 icsd-94886 icsd-86692 icsd-57451 icsd-89426 icsd-417639 icsd-187208 icsd-80048 icsd-80046 icsd-80045 icsd-291120 icsd-41572 icsd-248446 icsd-80050 icsd-80049 icsd-187207 icsd-26488 icsd-15983 icsd-82545 icsd-60900 icsd-647691 icsd-57157 icsd-96537 icsd-80047 icsd-185125 icsd-659226 icsd-60901 icsd-237008 icsd-248449 icsd-173960 icsd-67004 icsd-94931 icsd-66784 icsd-66783 icsd-92091 icsd-92093 icsd-85322 icsd-157620 icsd-237007 icsd-647692 icsd-9993 icsd-92092 icsd-66781 icsd-164736 icsd-51051 icsd-93124 icsd-66786 icsd-248448 icsd-291452 icsd-173961 icsd-157621 icsd-66788 icsd-88022 icsd-93028 icsd-66782 icsd-185124 icsd-93125 icsd-66787 icsd-93033 icsd-93032 icsd-93030 icsd-66785 icsd-93031 icsd-68781 icsd-92090 icsd-180936 icsd-157618 icsd-97004 icsd-248447 icsd-164862 icsd-186673 icsd-157619 icsd-66789 icsd-93123 icsd-93126 icsd-23928 icsd-93029 icsd-68589 icsd-655671 icsd-248444 icsd-53998 icsd-105553 icsd-164861 icsd-291119 icsd-92096 icsd-248443 icsd-186672 icsd-291453 icsd-157617 icsd-173962 icsd-647689 icsd-92095 icsd-237006 icsd-185123 icsd-89429 icsd-79914 icsd-173963 icsd-56696 icsd-83862 icsd-79915,8,604.0
1851,Ca0.95TiO3Eu0.05,Ca0.95TiO3,Eu,https://doi.org/10.1016/j.ceramint.2014.03.083,"mp-4019,mp-556003,mp-1205364,mp-3442,mp-754701,mp-5827", icsd-167888 icsd-62149 icsd-97828 icsd-167809 icsd-163663 icsd-174127 icsd-94568 icsd-85101 icsd-96258 icsd-162909 icsd-185445 icsd-162916 icsd-162917 icsd-157115 icsd-185443 icsd-185446 icsd-162913 icsd-162908 icsd-163662 icsd-163528 icsd-185452 icsd-16688 icsd-71915 icsd-186224 icsd-185444 icsd-189135 icsd-162918 icsd-162912 icsd-71916 icsd-180956 icsd-74215 icsd-185454 icsd-162914 icsd-74214 icsd-193648 icsd-93082 icsd-153172 icsd-185451 icsd-150420 icsd-74212 icsd-185449 icsd-162911 icsd-51024 icsd-162910 icsd-74213 icsd-37263 icsd-82487 icsd-185447 icsd-50364 icsd-185450 icsd-185453 icsd-74216 icsd-162915 icsd-185448 icsd-165801 icsd-38212 icsd-29116 icsd-162920 icsd-162919 icsd-162922 icsd-162921 icsd-162925 icsd-162924 icsd-77060 icsd-153173 icsd-162923 icsd-187293 icsd-165076 icsd-162926 icsd-31865 icsd-187294 icsd-153174 icsd-31864,5,616.0
1852,Ca0.9TiO3Eu0.1,Ca0.9TiO3,Eu,https://doi.org/10.1016/j.ceramint.2014.03.083,"mp-4019,mp-556003,mp-1205364,mp-3442,mp-754701,mp-5827", icsd-167888 icsd-62149 icsd-97828 icsd-167809 icsd-163663 icsd-174127 icsd-94568 icsd-85101 icsd-96258 icsd-162909 icsd-185445 icsd-162916 icsd-162917 icsd-157115 icsd-185443 icsd-185446 icsd-162913 icsd-162908 icsd-163662 icsd-163528 icsd-185452 icsd-16688 icsd-71915 icsd-186224 icsd-185444 icsd-189135 icsd-162918 icsd-162912 icsd-71916 icsd-180956 icsd-74215 icsd-185454 icsd-162914 icsd-74214 icsd-193648 icsd-93082 icsd-153172 icsd-185451 icsd-150420 icsd-74212 icsd-185449 icsd-162911 icsd-51024 icsd-162910 icsd-74213 icsd-37263 icsd-82487 icsd-185447 icsd-50364 icsd-185450 icsd-185453 icsd-74216 icsd-162915 icsd-185448 icsd-165801 icsd-38212 icsd-29116 icsd-162920 icsd-162919 icsd-162922 icsd-162921 icsd-162925 icsd-162924 icsd-77060 icsd-153173 icsd-162923 icsd-187293 icsd-165076 icsd-162926 icsd-31865 icsd-187294 icsd-153174 icsd-31864,8,616.0
1853,Ca0.85TiO3Eu0.15,Ca0.85TiO3,Eu,https://doi.org/10.1016/j.ceramint.2014.03.083,"mp-4019,mp-556003,mp-1205364,mp-3442,mp-754701,mp-5827", icsd-167888 icsd-62149 icsd-97828 icsd-167809 icsd-163663 icsd-174127 icsd-94568 icsd-85101 icsd-96258 icsd-162909 icsd-185445 icsd-162916 icsd-162917 icsd-157115 icsd-185443 icsd-185446 icsd-162913 icsd-162908 icsd-163662 icsd-163528 icsd-185452 icsd-16688 icsd-71915 icsd-186224 icsd-185444 icsd-189135 icsd-162918 icsd-162912 icsd-71916 icsd-180956 icsd-74215 icsd-185454 icsd-162914 icsd-74214 icsd-193648 icsd-93082 icsd-153172 icsd-185451 icsd-150420 icsd-74212 icsd-185449 icsd-162911 icsd-51024 icsd-162910 icsd-74213 icsd-37263 icsd-82487 icsd-185447 icsd-50364 icsd-185450 icsd-185453 icsd-74216 icsd-162915 icsd-185448 icsd-165801 icsd-38212 icsd-29116 icsd-162920 icsd-162919 icsd-162922 icsd-162921 icsd-162925 icsd-162924 icsd-77060 icsd-153173 icsd-162923 icsd-187293 icsd-165076 icsd-162926 icsd-31865 icsd-187294 icsd-153174 icsd-31864,10,616.0
1854,Ca0.8TiO3Eu0.2,Ca0.8TiO3,Eu,https://doi.org/10.1016/j.ceramint.2014.03.083,"mp-4019,mp-556003,mp-1205364,mp-3442,mp-754701,mp-5827", icsd-167888 icsd-62149 icsd-97828 icsd-167809 icsd-163663 icsd-174127 icsd-94568 icsd-85101 icsd-96258 icsd-162909 icsd-185445 icsd-162916 icsd-162917 icsd-157115 icsd-185443 icsd-185446 icsd-162913 icsd-162908 icsd-163662 icsd-163528 icsd-185452 icsd-16688 icsd-71915 icsd-186224 icsd-185444 icsd-189135 icsd-162918 icsd-162912 icsd-71916 icsd-180956 icsd-74215 icsd-185454 icsd-162914 icsd-74214 icsd-193648 icsd-93082 icsd-153172 icsd-185451 icsd-150420 icsd-74212 icsd-185449 icsd-162911 icsd-51024 icsd-162910 icsd-74213 icsd-37263 icsd-82487 icsd-185447 icsd-50364 icsd-185450 icsd-185453 icsd-74216 icsd-162915 icsd-185448 icsd-165801 icsd-38212 icsd-29116 icsd-162920 icsd-162919 icsd-162922 icsd-162921 icsd-162925 icsd-162924 icsd-77060 icsd-153173 icsd-162923 icsd-187293 icsd-165076 icsd-162926 icsd-31865 icsd-187294 icsd-153174 icsd-31864,8,616.0
1855,Ca9NaZnP7O28Eu0.018,Ca9NaZnP7O28,Eu,https://doi.org/10.1016/j.dyepig.2017.12.026,mp-1221168,,4,616.0
1856,Ca9NaZnP7O28Eu0.036,Ca9NaZnP7O28,Eu,https://doi.org/10.1016/j.dyepig.2017.12.026,mp-1221168,,1,616.0
1857,Ca9NaZnP7O28Eu0.054,Ca9NaZnP7O28,Eu,https://doi.org/10.1016/j.dyepig.2017.12.026,mp-1221168,,2,616.0
